"Dataset","Group","GID","CGMS1","CGMS2","MCMDS","DM","PLTHT","BRNHT1","HI","logFYLD","logTOPYLD","logRTNO"
"IITAaugmented","nrTP","COB548:250107988",0.0275294092471819,-0.00375419918539125,-0.0421974903656866,2.29010578226642,7.095586072862,4.02824687345848,0.00451885400032925,-0.0582819049179621,-0.0937266925013524,0.128213031477399
"IITAaugmented","nrTP","COB553:250107966",0.0141864427595555,1.50563917740718e-05,-0.0267919376999154,2.20805307330592,6.63871298938864,3.95260942830969,-0.00101412821281585,-0.0721169014729469,-0.0975631061957391,0.110661224902591
"IITAaugmented","nrTP","COB557:250107999",0.105007746607936,0.026236680096631,-0.0194319302058566,0.760594273159688,-0.75672716475902,-6.44443195153464,-0.0123668650484196,0.00978335737929451,0.00287700544478037,0.0761323531962436
"IITAaugmented","nrTP","COB561:250107915",0.205487224548277,0.0752915520525539,-0.038103060359501,1.99162798160012,-7.18870897571433,-2.78065596712066,0.00507214723496691,-0.0444218093337466,-0.0586139568887269,-0.00926066560078199
"IITAaugmented","nrTP","COB61:250108001",0.124687287326846,0.0248176706661394,-0.0574863959972597,-0.0440993834061181,2.20119709173818,2.8602881594941,-0.00773822808150952,0.0724083655740768,0.0765550559896181,0.0512632336171761
"IITAaugmented","nrTP","COB619:250107990",-0.0835375633224471,-0.0196377205425074,-0.0166099657665455,1.24992775001534,-6.92743299238465,-7.10435484665196,0.00914738140215877,-0.0527945209043234,-0.068316615052875,0.0174669993048282
"IITAaugmented","nrTP","COB631:250107921",0.319067874914753,0.0416791128024711,0.153216782882699,3.72662985982509,-4.4413643290604,-1.67236260633173,0.0356421293260643,0.0977697487202421,-0.0660959414973752,0.069990737095524
"IITAaugmented","nrTP","COB641:250107985",0.0162600345360163,-0.0136779985300214,0.039052485160212,1.96435116382298,-1.28639810641072,0.314829109063974,-0.0107778017839026,-0.00333776950799502,-0.0172644560181358,0.0530338713929918
"IITAaugmented","nrTP","COB7180:250107993",0.000102598856653514,-0.0709240893231185,0.156409643288251,0.329458312374439,4.26701026217594,-0.688416760711893,0.00200760237954459,0.0612719798699703,0.0412374737343269,-0.00955149242006027
"IITAaugmented","nrTP","COB7197:250107956",0.0495237105318564,0.0527938336747868,0.153663175473809,-1.12202870581686,-0.73741203052722,-3.45845342507469,-0.0253641641438723,-0.0425206904438995,0.0634963963252589,-0.0874084372335221
"IITAaugmented","nrTP","COB725:250108000",0.0827473528969574,-0.0172086086005797,0.212634810306149,-2.15165100547139,2.77968060775146,2.25025412090128,0.0532077512009345,-0.00483382289726303,-0.140319173414743,-0.076306908890285
"IITAaugmented","nrTP","CPCR11BP16:250368006",-0.136829526364741,-0.0426657606541544,0.0812547035778242,-2.26765015797454,0.314519740407868,1.90129037661059,0.0209551310483427,0.0413648262707748,-0.0514283530223596,-0.00804794188247948
"IITAaugmented","nrTP","CPCR15BP16:250368009",-0.156780749894133,-0.0458887165904469,0.0797007906755123,-2.07002031808394,-0.546833011269286,0.930346468660934,0.0135163779911099,0.017957773239541,-0.0508552630253685,-0.0256352565254029
"IITAaugmented","nrTP","CPCR15BP67:250367991",-0.151941892513129,-0.0436420533317919,0.0890156070042334,-2.09456848289846,0.640859563698227,2.1877090613787,0.011647372563433,0.026001687293436,-0.0414883712086804,-0.0275771970528975
"IITAaugmented","nrTP","CPCR22BP15:250368008",-0.207399700328337,-0.071858576490172,-0.0414111857578755,0.828135745700616,1.52717281138081,0.0607453841461267,0.00941434339243092,-0.0180747431594021,-0.0260379477608581,-0.0765004708491065
"IITAaugmented","nrTP","CPCR26BP27:250368025",-0.206488084896208,-0.0533342527776637,-0.0557972919583877,-2.27988651467997,4.62421875079897,-4.21732802677557,-0.0235592895187408,-0.0570973564027838,0.0114614102474163,0.0393998669390805
"IITAaugmented","nrTP","CPCR27BP30:250368023",-0.150593155417291,-0.0249267525346393,-0.016647246887382,0.252093406175109,-3.54662352946554,-0.239055109165148,-0.0219047608295517,-0.138058015486026,-0.132415645958986,-0.21320160976504
"IITAaugmented","nrTP","CR100215:250399745",-0.0143333581713638,-0.0169216420357689,-0.208266136114788,3.06218965673363,-4.12151174756462,-6.10603609132281,0.0504978230790155,0.207875596413693,-4.81573641551002e-05,0.378547319682087
"IITAaugmented","nrTP","CR100P15:250368047",-0.0922168546292583,-0.0628342608371992,0.0952506492967242,3.55498067649053,-1.01596071393548,6.32913315421043,0.0262160520883787,-0.14942752143282,-0.187893373503894,-0.0785288854052489
"IITAaugmented","nrTP","CR100P8:250399721",-0.102698019348845,-0.0635756064719321,0.123823445270592,3.26061571049595,-1.23104478475733,6.62491792138008,0.0173891487548642,-0.190400148034475,-0.196725665161053,-0.111861973929376
"IITAaugmented","nrTP","CR14B218:250107870",0.317643853795845,0.0973761585173459,0.43107138381686,0.00338159182456035,-0.436077535710753,5.65079760033701,-0.00318127091915785,-0.197292834391656,-0.230702780713443,-0.210606367214604
